Minute,time,Period,Player,Team,xG,Outcome,Goal/NoGoal
0,00:54,1,Shinji Kagawa,Japan,0.038844906,Off T,No Goal
9,09:14,1,Gen Shōji,Japan,0.0054525062,Off T,No Goal
15,15:13,1,Axel Witsel,Belgium,0.02329228,Blocked,No Goal
15,15:58,1,Vincent Kompany,Belgium,0.038868416,Wayward,No Goal
16,16:33,1,Romelu Lukaku Menama,Belgium,0.068028904,Blocked,No Goal
17,17:16,1,Vincent Kompany,Belgium,0.062155474,Wayward,No Goal
17,17:17,1,Vincent Kompany,Belgium,0.09683723,Off T,No Goal
20,20:10,1,Romelu Lukaku Menama,Belgium,0.053347003,Blocked,No Goal
24,24:53,1,Romelu Lukaku Menama,Belgium,0.29904982,Wayward,No Goal
26,26:05,1,Kevin De Bruyne,Belgium,0.074351706,Blocked,No Goal
26,26:32,1,Eden Hazard,Belgium,0.038630188,Saved,No Goal
27,27:26,1,Vincent Kompany,Belgium,0.37606573,Wayward,No Goal
30,30:31,1,Takashi Inui,Japan,0.09179325,Saved,No Goal
35,35:35,1,Eden Hazard,Belgium,0.15255512,Blocked,No Goal
35,35:43,1,Axel Witsel,Belgium,0.02434906,Off T,No Goal
43,43:49,1,Yuto Nagatomo,Japan,0.0644201,Blocked,No Goal
47,47:19,2,Genki Haraguchi,Japan,0.07330411,Goal,Goal
48,48:48,2,Eden Hazard,Belgium,0.10597108,Post,No Goal
48,48:49,2,Eden Hazard,Belgium,0.09700912,Wayward,No Goal
51,51:34,2,Takashi Inui,Japan,0.024892166,Goal,Goal
56,56:05,2,Yannick Ferreira Carrasco,Belgium,0.03521874,Off T,No Goal
58,58:40,2,Gaku Shibasaki,Japan,0.05377961,Blocked,No Goal
61,61:44,2,Romelu Lukaku Menama,Belgium,0.15798207,Off T,No Goal
63,63:58,2,Genki Haraguchi,Japan,0.10102822,Off T,No Goal
65,65:06,2,Thomas Meunier,Belgium,0.03213666,Off T,No Goal
67,67:59,2,Romelu Lukaku Menama,Belgium,0.1751244,Blocked,No Goal
68,68:53,2,Jan Vertonghen,Belgium,0.011378314,Goal,Goal
72,72:17,2,Kevin De Bruyne,Belgium,0.062116995,Blocked,No Goal
73,73:23,2,Marouane Fellaini-Bakkioui,Belgium,0.1826466,Goal,Goal
74,74:52,2,Takashi Inui,Japan,0.09275014,Blocked,No Goal
74,74:55,2,Yuto Nagatomo,Japan,0.012124663,Wayward,No Goal
77,77:51,2,Romelu Lukaku Menama,Belgium,0.11867756,Off T,No Goal
79,79:40,2,Vincent Kompany,Belgium,0.0088148285,Wayward,No Goal
83,83:08,2,Keisuke Honda,Japan,0.12930113,Blocked,No Goal
85,85:02,2,Nacer Chadli,Belgium,0.12926859,Saved,No Goal
85,85:07,2,Romelu Lukaku Menama,Belgium,0.20452708,Saved,No Goal
85,85:34,2,Thomas Meunier,Belgium,0.006299751,Off T,No Goal
86,86:36,2,Jan Vertonghen,Belgium,0.02341678,Saved,No Goal
92,92:59,2,Keisuke Honda,Japan,0.006078651,Saved,No Goal
93,93:44,2,Nacer Chadli,Belgium,0.25971222,Goal,Goal
